ts,elapsed_s,new_lines,hit,miss,bypass,stale,updating,expired,other,s2xx,s3xx,s4xx,s5xx,php_procs,php_rss_mb,load1,load5,mem_avail_mb,swap_used_mb,mysql_threads,fpm_active,fpm_idle,fpm_queue
2026-09-20T23:39:20Z,1,0,0,0,0,0,0,0,0,0,0,0,0,9,999,0.19,0.17,5589,1081,5,36996,36996,36996
2026-09-20T23:39:23Z,4,0,0,0,0,0,0,0,0,0,0,0,0,9,989,0.18,0.17,5586,1081,5,36996,36996,36996
2026-09-20T23:39:25Z,6,0,0,0,0,0,0,0,0,0,0,0,0,9,979,0.18,0.17,5591,1081,5,36996,36996,36996
2026-09-20T23:39:27Z,8,271,271,0,0,0,0,0,0,271,0,0,0,9,971,0.18,0.17,5600,1081,5,36996,36996,36996
2026-09-20T23:39:29Z,10,0,0,0,0,0,0,0,0,0,0,0,0,9,961,0.16,0.16,5610,1081,5,36996,36996,36996
2026-09-20T23:39:31Z,12,255,255,0,0,0,0,0,0,255,0,0,0,9,965,0.16,0.16,5611,1081,5,36996,36996,36996
2026-09-20T23:39:33Z,14,0,0,0,0,0,0,0,0,0,0,0,0,9,955,0.15,0.16,5619,1081,5,36996,36996,36996
2026-09-20T23:39:35Z,16,247,247,0,0,0,0,0,0,247,0,0,0,9,945,0.15,0.16,5632,1081,5,36996,36996,36996
2026-09-20T23:39:38Z,19,0,0,0,0,0,0,0,0,0,0,0,0,9,935,0.14,0.16,5641,1081,5,36996,36996,36996
2026-09-20T23:39:40Z,21,0,0,0,0,0,0,0,0,0,0,0,0,9,931,0.14,0.16,5646,1081,5,36996,36996,36996
2026-09-20T23:39:42Z,23,256,256,0,0,0,0,0,0,256,0,0,0,9,927,0.14,0.16,5105,1081,5,36996,36996,36996
2026-09-20T23:39:44Z,25,0,0,0,0,0,0,0,0,0,0,0,0,9,923,0.29,0.19,4536,1081,5,36996,36996,36996
2026-09-20T23:39:46Z,27,257,257,0,0,0,0,0,0,257,0,0,0,9,919,0.29,0.19,3935,1081,5,36996,36996,36996
2026-09-20T23:39:49Z,30,0,0,0,0,0,0,0,0,0,0,0,0,9,919,0.43,0.22,3383,1081,5,36996,36996,36996
2026-09-20T23:39:51Z,32,284,284,0,0,0,0,0,0,284,0,0,0,9,915,0.43,0.22,2868,1081,5,36996,36996,36996
2026-09-20T23:39:54Z,35,349,349,0,0,0,0,0,0,349,0,0,0,9,909,0.55,0.25,2258,1081,5,36996,36996,36996
2026-09-20T23:39:56Z,37,349,349,0,0,0,0,0,0,349,0,0,0,9,894,0.55,0.25,1796,1099,5,36996,36996,36996
2026-09-20T23:39:59Z,40,687,687,0,0,0,0,0,0,687,0,0,0,9,799,0.83,0.31,5829,1185,5,36996,36996,36996
2026-09-20T23:40:03Z,44,695,695,0,0,0,0,0,0,695,0,0,0,9,799,0.84,0.32,5781,1182,5,36996,36996,36996
2026-09-20T23:40:05Z,46,349,349,0,0,0,0,0,0,349,0,0,0,9,799,0.84,0.32,5684,1181,5,36996,36996,36996
2026-09-20T23:40:07Z,48,698,698,0,0,0,0,0,0,698,0,0,0,9,798,0.84,0.32,5671,1177,5,36996,36996,36996
2026-09-20T23:40:09Z,50,696,696,0,0,0,0,0,0,696,0,0,0,9,798,0.86,0.33,5626,1175,5,36996,36996,36996
2026-09-20T23:40:12Z,53,0,0,0,0,0,0,0,0,0,0,0,0,9,797,0.86,0.33,5613,1174,5,36996,36996,36996
2026-09-20T23:40:14Z,55,703,703,0,0,0,0,0,0,703,0,0,0,9,796,1.03,0.38,5609,1173,5,36996,36996,36996
2026-09-20T23:40:16Z,57,346,346,0,0,0,0,0,0,346,0,0,0,9,795,1.03,0.38,5664,1173,5,36996,36996,36996
2026-09-20T23:40:19Z,60,350,350,0,0,0,0,0,0,350,0,0,0,9,795,0.94,0.37,5662,1171,5,36996,36996,36996
2026-09-20T23:40:21Z,62,347,347,0,0,0,0,0,0,347,0,0,0,9,794,0.94,0.37,5673,1170,5,36996,36996,36996
2026-09-20T23:40:23Z,64,694,694,0,0,0,0,0,0,694,0,0,0,9,793,0.87,0.37,5694,1169,5,36996,36996,36996
2026-09-20T23:40:25Z,66,346,346,0,0,0,0,0,0,346,0,0,0,9,792,0.87,0.37,5717,1168,5,36996,36996,36996
2026-09-20T23:40:27Z,68,347,347,0,0,0,0,0,0,347,0,0,0,9,792,0.87,0.37,5719,1168,5,36996,36996,36996
2026-09-20T23:40:29Z,70,347,347,0,0,0,0,0,0,347,0,0,0,9,791,0.80,0.36,5720,1167,5,36996,36996,36996
2026-09-20T23:40:31Z,72,697,697,0,0,0,0,0,0,697,0,0,0,9,791,0.80,0.36,5722,1165,5,36996,36996,36996
